epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
111,2879.1,1.16927,0.82059,1.17143,0.80331,0.72887,0.80484,0.48796,1.32572,0.95027,1.24066,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,3192.8,1.16481,0.81857,1.17653,0.80272,0.72975,0.80457,0.48813,1.32565,0.94998,1.24053,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,3506.08,1.1634,0.81559,1.17228,0.80138,0.7309,0.8048,0.48841,1.32478,0.94878,1.23974,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,3820.97,1.15699,0.82798,1.16613,0.80259,0.72953,0.80509,0.48842,1.32515,0.94859,1.24001,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,4138.34,1.16431,0.81062,1.16763,0.80184,0.73101,0.80532,0.48795,1.32517,0.94869,1.23972,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,4457.68,1.16067,0.80971,1.17086,0.80138,0.73111,0.80496,0.48807,1.32505,0.9474,1.23974,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,4781.62,1.14673,0.80514,1.15966,0.80054,0.73161,0.80539,0.48852,1.32502,0.94607,1.24005,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,5100.75,1.16259,0.81669,1.16583,0.80057,0.73208,0.80606,0.48844,1.32608,0.9458,1.24059,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,5422.55,1.14699,0.79953,1.16003,0.80109,0.73134,0.8058,0.48843,1.32617,0.94429,1.24047,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,5742.87,1.15482,0.80147,1.1626,0.80253,0.73222,0.80609,0.48803,1.32727,0.94322,1.24096,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,6063.55,1.14827,0.80131,1.15984,0.80215,0.73249,0.8064,0.48848,1.32748,0.9427,1.24066,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,6382.02,1.15822,0.80228,1.16467,0.80296,0.73181,0.80555,0.48897,1.32727,0.94393,1.24088,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,6701.34,1.14736,0.7957,1.16154,0.80358,0.73237,0.80583,0.4889,1.32771,0.94318,1.2415,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,7021.4,1.15678,0.7948,1.16632,0.80571,0.73209,0.80605,0.48887,1.3278,0.94268,1.24187,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,362.552,1.10003,0.74619,1.13884,0.80481,0.73267,0.80566,0.48909,1.32785,0.94029,1.24205,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,711.364,1.11668,0.76363,1.14278,0.80691,0.73138,0.80616,0.48914,1.32802,0.93897,1.24233,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,1034.49,1.12628,0.7742,1.1481,0.8068,0.73339,0.80642,0.4891,1.32859,0.93754,1.24279,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,1351.42,1.1242,0.76876,1.15315,0.8051,0.73501,0.80645,0.48868,1.32905,0.93663,1.24319,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,1670.05,1.12489,0.77376,1.14567,0.80633,0.73455,0.80681,0.48884,1.32935,0.93445,1.2436,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
